Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
PCRX,"Pacira BioSciences, Inc.",Healthcare,846354752,35.95,11.16,21.31355,18.84
PDCO,"Patterson Companies, Inc.",Healthcare,2718454272,31.79,19.45,24.13065,30.86
PDFS,"PDF Solutions, Inc.",Technology,1059663360,39.7,26.94,32.04365,27.08
PEB,Pebblebrook Hotel Trust,Real Estate,1588326144,16.65,11.65,13.7065,13.55
PECO,"Phillips Edison & Company, Inc.",Real Estate,5034511360,40.12,30.62,35.4831,37.46
PENN,"PENN Entertainment, Inc.",Consumer Cyclical,2936581888,25.53,13.5,18.5372,19.82
PFBC,Preferred Bank,Financial Services,1127897600,99.78,66.88,81.0493,86.38
PFS,"Provident Financial Services, Inc.",Financial Services,2427076864,22.24,13.07,17.2439,18.87
PGNY,"Progyny, Inc.",Healthcare,1509767936,42.08,13.39,23.7083,17.25
PHIN,PHINIA Inc.,Consumer Cyclical,2031411072,57.23,27.86,44.9134,48.17
PI,"Impinj, Inc.",Technology,4151352064,239.88,78.17,167.4947,145.26
PINC,"Premier, Inc.",Healthcare,2053840896,23.56,17.955,20.36135,21.2
PIPR,Piper Sandler Companies,Financial Services,4745739776,351.8,162.5,257.174,299.95
PJT,PJT Partners Inc.,Financial Services,6161094144,168.92,88.51,124.094,157.81
PLAB,"Photronics, Inc.",Technology,1520683008,34.16,20.25,25.37505,23.56
PLAY,"Dave & Buster's Entertainment, Inc.",Communication Services,1166252928,69.82,24.995,41.01705,29.19
PLMR,"Palomar Holdings, Inc.",Financial Services,2762510592,112.9,54.81,91.45285,105.59
PLUS,ePlus inc.,Technology,1983421952,106.98,56.33,83.6461,73.88
PLXS,Plexus Corp.,Technology,4204583936,170.07,90.18,124.63995,156.48
PMT,PennyMac Mortgage Investment Trust,Real Estate,1090974208,15.22,12.33,13.84785,12.59
POWL,"Powell Industries, Inc.",Industrials,2749209088,364.98,76.29,194.19995,221.65
PPBI,"Pacific Premier Bancorp, Inc.",Financial Services,2363759104,30.28,20.52,24.5129,24.92
PRA,ProAssurance Corporation,Financial Services,803665472,17.79,10.76,14.02105,15.91
PRAA,"PRA Group, Inc.",Financial Services,811795776,31.43,18.64,22.31295,20.89
PRDO,Perdoceo Education Corporation,Consumer Defensive,1717169536,29.47,16.12,22.43865,26.47
PRG,"PROG Holdings, Inc.",Industrials,1757285760,50.28,27.84,40.79295,42.26
PRGS,Progress Software Corporation,Technology,2776382464,70.56,48.0,58.11075,65.15
PRK,Park National Corporation,Financial Services,2758825984,207.99,123.08,159.35555,171.43
PRLB,"Proto Labs, Inc.",Industrials,949766400,45.15,25.76,32.83125,39.09
PRVA,"Privia Health Group, Inc.",Healthcare,2356819456,23.78,15.92,18.91755,19.55
PSMT,"PriceSmart, Inc.",Consumer Defensive,2848834304,99.23,72.15,86.48305,92.17
PTEN,"Patterson-UTI Energy, Inc.",Energy,3326324480,12.65,7.15,9.48575,8.26
PTGX,"Protagonist Therapeutics, Inc.",Healthcare,2323130112,48.89,21.43,37.43805,38.6
PUMP,ProPetro Holding Corp.,Energy,1015919104,10.06,6.535,8.41635,9.33
PZZA,"Papa John's International, Inc.",Consumer Cyclical,1412728448,78.67,38.25,50.6321,41.07
QDEL,QuidelOrtho Corporation,Healthcare,3029242112,75.09,29.74,41.05065,44.55
QNST,"QuinStreet, Inc.",Communication Services,1314303744,26.27,11.22,18.82515,23.07
RAMP,"LiveRamp Holdings, Inc.",Technology,1974897792,42.66,21.45,29.3127,30.37
RC,Ready Capital Corporation,Real Estate,1165753984,10.36,6.65,8.09505,6.82
RCUS,"Arcus Biosciences, Inc.",Healthcare,1384570496,20.31,13.52,16.12455,14.89
RDN,Radian Group Inc.,Financial Services,4753940992,37.86,26.11,33.14465,31.72
RDNT,"RadNet, Inc.",Healthcare,5192973312,93.65,34.22,63.1326,69.84
RES,"RPC, Inc.",Energy,1317778432,8.19,5.54,6.54175,5.94
REX,REX American Resources Corporation,Basic Materials,750295104,60.79,39.02,47.606,41.69
REZI,"Resideo Technologies, Inc.",Industrials,3348022272,28.28,16.36,21.38315,23.05
RGNX,REGENXBIO Inc.,Healthcare,389424480,28.8,7.14,12.7261,7.73
RGR,"Sturm, Ruger & Company, Inc.",Industrials,585327296,48.2,34.14,41.93265,35.37
RHI,Robert Half Inc.,Industrials,7073452032,83.84,57.05,68.19405,70.46
RNST,Renasant Corporation,Financial Services,2247683072,39.47,27.98,32.6637,35.75
ROCK,"Gibraltar Industries, Inc.",Industrials,1772526976,87.4,58.11,70.5592,58.9
ROG,Rogers Corporation,Technology,1845533312,134.07,96.1,111.24005,101.61
ROIC,Retail Opportunity Investments Corp.,Real Estate,2218399744,17.52,11.87,14.52045,17.36
RUN,Sunrun Inc.,Technology,2290501376,22.26,9.01,14.03725,9.25
RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,4316033536,65.15,40.99,50.9552,54.79
RWT,"Redwood Trust, Inc.",Real Estate,858412800,8.15,5.46,6.87765,6.53
RXO,"RXO, Inc.",Industrials,3805899264,32.82,18.75,25.4681,23.84
